animal_type,sex,intake_condition,adoption_probability
DOG,Spayed,AGED,0.8789995184894245
DOG,Spayed,NORMAL,0.922107973292041
OTHER,Unknown,ILL MODERATETE,0.05367636697835632
DOG,Spayed,ILL MILD,0.8746097204256731
DOG,Neutered,NORMAL,0.8696935084712577
DOG,Female,NORMAL,0.5809242287222319
DOG,Spayed,ILL MILD,0.8746097204256731
DOG,Spayed,NORMAL,0.8678368982815773
DOG,Spayed,ILL SEVERE,0.5411621402950483
DOG,Spayed,NORMAL,0.8463180754730208
DOG,Neutered,NORMAL,0.8696935084712577
DOG,Spayed,NORMAL,0.8463180754730208
DOG,Spayed,INJURED  MODERATE,0.8006204864517122
DOG,Male,ILL SEVERE,0.22808295544282056
DOG,Spayed,NORMAL,0.8463180754730208
DOG,Spayed,NORMAL,0.8678368982815773
DOG,Neutered,NORMAL,0.9232695979382058
DOG,Spayed,ILL SEVERE,0.7171463979067242
DOG,Neutered,NORMAL,0.8696935084712577
DOG,Neutered,ILL SEVERE,0.5452028874071931
DOG,Spayed,INJURED  MILD,0.8440789640849076
DOG,Female,NORMAL,0.6230526212364262
DOG,Neutered,ILL MODERATETE,0.7762951096366421
DOG,Neutered,NORMAL,0.9232695979382058
DOG,Spayed,NORMAL,0.8463180754730208
DOG,Neutered,INJURED  SEVERE,0.5951643911467881
DOG,Spayed,INJURED  MILD,0.8440789640849076
DOG,Spayed,INJURED  SEVERE,0.6329814718405017
DOG,Neutered,INJURED  MILD,0.8462101789433885
DOG,Neutered,NORMAL,0.8696935084712577
DOG,Neutered,ILL MODERATETE,0.8053637808911556
DOG,Neutered,ILL MILD,0.8763847392201664
DOG,Female,NORMAL,0.6230526212364262
DOG,Spayed,NORMAL,0.8463180754730208
DOG,Male,NORMAL,0.6219368437214787
DOG,Spayed,AGED,0.8789995184894245
DOG,Neutered,AGED,0.8807208703972158
DOG,Neutered,NORMAL,0.8696935084712577
DOG,Neutered,ILL MILD,0.856026785899977
DOG,Neutered,AGED,0.8609637343585774
DOG,Neutered,ILL MILD,0.856026785899977
DOG,Spayed,NORMAL,0.8678368982815773
DOG,Spayed,NORMAL,0.8678368982815773
DOG,Spayed,ILL MILD,0.8746097204256731
DOG,Male,NORMAL,0.6219368437214787
DOG,Neutered,ILL MILD,0.8763847392201664
DOG,Neutered,NORMAL,0.8696935084712577
